ID,Loại,"Mã sản phẩm",Tên,"Đã đăng","Nhãn nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giảm giá","Ngày kết thúc giảm giá","Trạng thái thuế","Lớp thuế","Còn hàng?",Kho,"Low stock amount","Cho phép đặt trước?","Bán riêng?","Cân nặng (kg)","Độ dài (cm)","Độ rộng (cm)","Chiều cao (cm)","Cho phép đánh giá của khách hàng?","Ghi chú thanh toán","Giá khuyến mãi","Giá bán thường","Danh mục","Từ khóa","Lớp giao hàng","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải về",Gốc,"Các sản phẩm theo nhóm",Upsells,"Bán chéo","URL ngoài","Nội dung nút bấm","Vị trí","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: views","Meta: _oembed_8839f14990715665af6410e80a29ea81","Meta: video_sp","Meta: _video_sp","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính toàn cục 1","Tên tập tin tải về 1","URL tập tin tải về 1","Meta: 360_do_0_color","Meta: _360_do_0_color","Meta: 360_do_0_title","Meta: _360_do_0_title","Meta: _360_do_0_list_image","Meta: 360_do_1_color","Meta: _360_do_1_color","Meta: 360_do_1_title","Meta: _360_do_1_title","Meta: _360_do_1_list_image","Meta: 360_do","Meta: _360_do","Meta: _wcj_wholesale_price_per_product_enabled","Meta: _wcj_wholesale_price_discount_type","Meta: _wcj_wholesale_price_levels_number","Meta: _wcj_wholesale_price_level_min_qty_1","Meta: _wcj_wholesale_price_level_discount_1"
42,simple,,"iPhone X 64GB",1,1,visible,"Trả góp 0% + Trợ giá 8,000,000đ khi mua kèm gói VNM-FPT888 Xem chi tiết
\n<img id=""iPhone 8 Plus 256GB có hiệu năng mạnh mẽ"" class=""aligncenter"" title=""iPhone 8 Plus 256GB có hiệu năng mạnh mẽ"" src=""https://fptshop.com.vn/Uploads/images/2015/SANPHAM/T11/iphone-8-plus-256-gb/iphone-8-plus-256-gb-8.jpg"" alt=""iPhone 8 Plus 256GB có hiệu năng mạnh mẽ"" longdesc=""https://fptshop.com.vn/dien-thoai/iphone-8-plus-256-gb"" />
\n
\nSở hữu dòng chip mới nhất Apple A11 Bionic 6 nhân, trong đó 2 nhân có khả năng xử lý nhanh hơn 25%, 4 nhân còn lại có tốc độ nhanh hơn 70% so với dòng chip A10, <strong>iPhone 8 Plus 256Gb</strong> là chiếc smartphone có thể đáp ứng mọi nhu cầu mà bạn mong muốn một cách tối ưu nhất.
\n<h3><strong>iPhone 8 Plus 256GB được trang bị công nghệ màn hình True Tone</strong></h3>
\n<img id=""Trang bị công nghệ màn hình True Tone"" class=""aligncenter"" title=""Trang bị công nghệ màn hình True Tone"" src=""https://fptshop.com.vn/Uploads/images/2015/SANPHAM/T11/iphone-8-plus-256-gb/iphone-8-plus-256-gb-7.jpg"" alt=""Trang bị công nghệ màn hình True Tone "" longdesc=""https://fptshop.com.vn/dien-thoai/iphone-8-plus-256-gb"" />
\nVới màn hình True Tone 5.5 inch (vốn trước đó chỉ có trên iPad Pro), iPhone 8 Plus 256Gb sẽ ít phản chiếu ánh sáng hơn, do đó màu sắc mà người dùng thấy trên màn hình sẽ gần chính xác nhất với thực tế. Việc chặn phản chiếu ánh sáng này rất quan trọng để làm cho <strong>iPhone 8 Plus 256Gb</strong> có thể đọc chữ được nếu bạn ở ngoài trời. Độ phân giải FullHD 1920 x 1080 được cải tiến mạnh mẽ cho khả năng hiển thị chất lượng cao.
\n<h3><strong>Pin và sạc không dây</strong></h3>
\nCuối cùng thì Apple cũng tích hợp tính năng sạc không dây cho iPhone thông qua dock sạc AirPower, chuẩn Qi rất phổ biến. Tính năng này tuy không mới nhưng lại rất cần có trên iPhone vì tính an toàn và tiện lợi. Ngoài ra, <strong>iPhone 8 Plus 256Gb</strong> còn có khả năng sạc nhanh khi nạp đầy 50% lượng pin dung lượng 2900 mAh chỉ trong 30 phút. Với chip A11 Bionic 6 nhân mạnh mẽ, lượng tiêu thụ điện năng của iphone 8 Plus 256Gb sẽ giảm một nửa so với sản phẩm tiền nhiệm. Bây giờ “hết pin” không còn là vấn đề nữa rồi.
\n<img id=""Pin và sạc không dây trên iphone 8 plus 256gb"" class=""aligncenter"" title=""Pin và sạc không dây trên iphone 8 plus 256gb"" src=""https://fptshop.com.vn/Uploads/images/2015/SANPHAM/T11/iphone-8-plus-256-gb/iphone-8-plus-256-gb-3.jpg"" alt=""Pin và sạc không dây trên iphone 8 plus 256gb"" longdesc=""https://fptshop.com.vn/dien-thoai/iphone-8-plus-256-gb"" />
\n<h3><strong>Hệ điều hành iOS 11</strong></h3>
